Moisture Data ASCII output
Logger ID:  IENWUP002SMP
Last Sampling Interval: 30 minutes
Selected Sites, Probes and Sensors: 
Default: P1: 10[A1], 20[A2], 30[A3], 40[A4], 60[A5], 80[A6]
Output Type:  Separate
Index   ,"Date Time"                   ,A1.Raw      ,A1.Moisture[mm]  ,A2.Raw      ,A2.Moisture[mm]  ,A3.Raw      ,A3.Moisture[mm]  ,A4.Raw      ,A4.Moisture[mm]  ,A5.Raw      ,A5.Moisture[mm]  ,A6.Raw      ,A6.Moisture[mm]  ,
0       ,"2016-06-22 09:00:00"         ,65535       ,15.314156        ,65535       ,35.458992        ,65535       ,37.311703        ,65535       ,35.494244        ,65535       ,41.905281        ,65535       ,49.438580        ,
1       ,"2016-06-22 09:30:00"         ,65535       ,15.273045        ,65535       ,35.470524        ,65535       ,37.311703        ,65535       ,35.494244        ,65535       ,41.905281        ,65535       ,49.428272        ,
2       ,"2016-06-22 10:00:00"         ,65535       ,15.252513        ,65535       ,35.458992        ,65535       ,37.303047        ,65535       ,35.485775        ,65535       ,41.905281        ,65535       ,49.428272        ,
3       ,"2016-06-22 10:30:00"         ,65535       ,15.196136        ,65535       ,35.447449        ,65535       ,37.294407        ,65535       ,35.477299        ,65535       ,41.905281        ,65535       ,49.428272        ,
4       ,"2016-06-22 11:00:00"         ,65535       ,15.334733        ,65535       ,35.435909        ,65535       ,37.285755        ,65535       ,35.485775        ,65535       ,41.905281        ,65535       ,49.428272        ,
5       ,"2016-06-22 11:30:00"         ,65535       ,16.963774        ,65535       ,35.910797        ,65535       ,37.268467        ,65535       ,35.494244        ,65535       ,41.924137        ,65535       ,49.428272        ,
6       ,"2016-06-22 12:00:00"         ,65535       ,18.328995        ,65535       ,35.609211        ,65535       ,37.424252        ,65535       ,35.511185        ,65535       ,41.914711        ,65535       ,49.428272        ,
7       ,"2016-06-22 12:30:00"         ,65535       ,17.998760        ,65535       ,35.551388        ,65535       ,37.337658        ,65535       ,35.477299        ,65535       ,41.914711        ,65535       ,49.438580        ,
8       ,"2016-06-22 13:00:00"         ,65535       ,17.919586        ,65535       ,35.528271        ,65535       ,37.303047        ,65535       ,35.468834        ,65535       ,41.905281        ,65535       ,49.428272        ,
9       ,"2016-06-22 13:30:00"         ,65535       ,17.823723        ,65535       ,35.516724        ,65535       ,37.277115        ,65535       ,35.460365        ,65535       ,41.895855        ,65535       ,49.428272        ,
10      ,"2016-06-22 14:00:00"         ,65535       ,17.700121        ,65535       ,35.493622        ,65535       ,37.259819        ,65535       ,35.451893        ,65535       ,41.895855        ,65535       ,49.428272        ,
11      ,"2016-06-22 14:30:00"         ,65535       ,17.627323        ,65535       ,35.505173        ,65535       ,37.251186        ,65535       ,35.451893        ,65535       ,41.895855        ,65535       ,49.428272        ,
12      ,"2016-06-22 15:00:00"         ,65535       ,17.599371        ,65535       ,35.493622        ,65535       ,37.242538        ,65535       ,35.451893        ,65535       ,41.905281        ,65535       ,49.428272        ,
13      ,"2016-06-22 15:30:00"         ,65535       ,17.705725        ,65535       ,35.505173        ,65535       ,37.242538        ,65535       ,35.451893        ,65535       ,41.905281        ,65535       ,49.428272        ,
14      ,"2016-06-22 16:00:00"         ,65535       ,17.812468        ,65535       ,35.505173        ,65535       ,37.242538        ,65535       ,35.460365        ,65535       ,41.914711        ,65535       ,49.438580        ,
15      ,"2016-06-22 16:30:00"         ,65535       ,17.913939        ,65535       ,35.516724        ,65535       ,37.242538        ,65535       ,35.451893        ,65535       ,41.905281        ,65535       ,49.438580        ,
16      ,"2016-06-22 17:00:00"         ,65535       ,17.953495        ,65535       ,35.528271        ,65535       ,37.242538        ,65535       ,35.443439        ,65535       ,41.895855        ,65535       ,49.428272        ,
17      ,"2016-06-22 17:30:00"         ,65535       ,17.959146        ,65535       ,35.539837        ,65535       ,37.251186        ,65535       ,35.434978        ,65535       ,41.895855        ,65535       ,49.428272        ,
18      ,"2016-06-22 18:00:00"         ,65535       ,17.936533        ,65535       ,35.528271        ,65535       ,37.242538        ,65535       ,35.434978        ,65535       ,41.895855        ,65535       ,49.428272        ,
19      ,"2016-06-22 18:30:00"         ,65535       ,17.919586        ,65535       ,35.539837        ,65535       ,37.242538        ,65535       ,35.434978        ,65535       ,41.886433        ,65535       ,49.428272        ,
20      ,"2016-06-22 19:00:00"         ,65535       ,17.919586        ,65535       ,35.528271        ,65535       ,37.251186        ,65535       ,35.434978        ,65535       ,41.886433        ,65535       ,49.428272        ,
21      ,"2016-06-22 19:30:00"         ,65535       ,17.925232        ,65535       ,35.551388        ,65535       ,37.251186        ,65535       ,35.434978        ,65535       ,41.886433        ,65535       ,49.428272        ,
22      ,"2016-06-22 20:00:00"         ,65535       ,17.930885        ,65535       ,35.562950        ,65535       ,37.251186        ,65535       ,35.426510        ,65535       ,41.886433        ,65535       ,49.428272        ,
23      ,"2016-06-22 20:30:00"         ,65535       ,17.936533        ,65535       ,35.562950        ,65535       ,37.251186        ,65535       ,35.426510        ,65535       ,41.886433        ,65535       ,49.428272        ,
24      ,"2016-06-22 21:00:00"         ,65535       ,17.942186        ,65535       ,35.562950        ,65535       ,37.251186        ,65535       ,35.426510        ,65535       ,41.886433        ,65535       ,49.428272        ,
25      ,"2016-06-22 21:30:00"         ,65535       ,26.061302        ,65535       ,39.243065        ,65535       ,39.556358        ,65535       ,36.115898        ,65535       ,41.980736        ,65535       ,49.490116        ,
26      ,"2016-06-22 22:00:00"         ,65535       ,25.360935        ,65535       ,38.354141        ,65535       ,39.511593        ,65535       ,36.192974        ,65535       ,41.971302        ,65535       ,49.500427        ,
27      ,"2016-06-22 22:30:00"         ,65535       ,25.236069        ,65535       ,38.148869        ,65535       ,39.484745        ,65535       ,36.235851        ,65535       ,41.971302        ,65535       ,49.510742        ,
28      ,"2016-06-22 23:00:00"         ,65535       ,25.229147        ,65535       ,38.016396        ,65535       ,39.431095        ,65535       ,36.244427        ,65535       ,41.971302        ,65535       ,49.510742        ,
29      ,"2016-06-22 23:30:00"         ,65535       ,25.201450        ,65535       ,37.956276        ,65535       ,39.395340        ,65535       ,36.270168        ,65535       ,41.971302        ,65535       ,49.510742        ,
30      ,"2016-06-23 00:00:00"         ,65535       ,25.194534        ,65535       ,37.908218        ,65535       ,39.359615        ,65535       ,36.244427        ,65535       ,41.971302        ,65535       ,49.510742        ,
31      ,"2016-06-23 00:30:00"         ,65535       ,25.187613        ,65535       ,37.860199        ,65535       ,39.341763        ,65535       ,36.218697        ,65535       ,41.971302        ,65535       ,49.510742        ,
32      ,"2016-06-23 01:00:00"         ,65535       ,25.187613        ,65535       ,37.836197        ,65535       ,39.341763        ,65535       ,36.073105        ,65535       ,41.971302        ,65535       ,49.510742        ,
33      ,"2016-06-23 01:30:00"         ,65535       ,25.194534        ,65535       ,37.812218        ,65535       ,39.288216        ,65535       ,36.038902        ,65535       ,41.971302        ,65535       ,49.521046        ,
34      ,"2016-06-23 02:00:00"         ,65535       ,25.194534        ,65535       ,37.800224        ,65535       ,39.252552        ,65535       ,36.013268        ,65535       ,41.961864        ,65535       ,49.510742        ,
35      ,"2016-06-23 02:30:00"         ,65535       ,25.201450        ,65535       ,37.776245        ,65535       ,39.225807        ,65535       ,36.004715        ,65535       ,41.971302        ,65535       ,49.521046        ,
36      ,"2016-06-23 03:00:00"         ,65535       ,25.201450        ,65535       ,37.764259        ,65535       ,39.216892        ,65535       ,35.996174        ,65535       ,41.971302        ,65535       ,49.521046        ,
37      ,"2016-06-23 03:30:00"         ,65535       ,25.201450        ,65535       ,37.716351        ,65535       ,39.190166        ,65535       ,35.996174        ,65535       ,41.971302        ,65535       ,49.521046        ,
38      ,"2016-06-23 04:00:00"         ,65535       ,25.194534        ,65535       ,37.692402        ,65535       ,39.163460        ,65535       ,35.996174        ,65535       ,41.971302        ,65535       ,49.521046        ,
39      ,"2016-06-23 04:30:00"         ,65535       ,25.201450        ,65535       ,37.680443        ,65535       ,39.154552        ,65535       ,35.987633        ,65535       ,41.971302        ,65535       ,49.521046        ,
40      ,"2016-06-23 05:00:00"         ,65535       ,25.201450        ,65535       ,37.656509        ,65535       ,39.136753        ,65535       ,35.987633        ,65535       ,41.971302        ,65535       ,49.521046        ,
41      ,"2016-06-23 05:30:00"         ,65535       ,25.222221        ,65535       ,37.644547        ,65535       ,39.118961        ,65535       ,35.987633        ,65535       ,41.971302        ,65535       ,49.521046        ,
42      ,"2016-06-23 06:00:00"         ,65535       ,25.222221        ,65535       ,37.644547        ,65535       ,39.101162        ,65535       ,35.987633        ,65535       ,41.971302        ,65535       ,49.521046        ,
43      ,"2016-06-23 06:30:00"         ,65535       ,25.194534        ,65535       ,37.632587        ,65535       ,39.083374        ,65535       ,35.987633        ,65535       ,41.971302        ,65535       ,49.521046        ,
44      ,"2016-06-23 07:00:00"         ,65535       ,25.194534        ,65535       ,37.620636        ,65535       ,39.065598        ,65535       ,35.979095        ,65535       ,41.971302        ,65535       ,49.521046        ,
45      ,"2016-06-23 07:30:00"         ,65535       ,25.201450        ,65535       ,37.620636        ,65535       ,39.065598        ,65535       ,35.979095        ,65535       ,41.971302        ,65535       ,49.521046        ,
46      ,"2016-06-23 08:00:00"         ,65535       ,25.201450        ,65535       ,37.620636        ,65535       ,39.047821        ,65535       ,35.979095        ,65535       ,41.971302        ,65535       ,49.521046        ,
