,date_time,a1_raw,a1_moisture,a2_raw,a2_moisture,a3_raw,a3_moisture,a4_raw,a4_moisture,a5_raw,a5_moisture,a6_raw,a6_moisture
36,2016-08-04 05:30:00,65535,28.996777        ,65535,19.172476        ,65535,14.376232        ,65535,17.951593        ,65535,29.350142        ,65535,34.346256        
37,2016-08-04 06:00:00,65535,28.996777        ,65535,19.164162        ,65535,14.366483        ,65535,17.934685        ,65535,29.350142        ,65535,34.338058        
38,2016-08-04 06:30:00,65535,28.996777        ,65535,19.164162        ,65535,14.356743        ,65535,17.923416        ,65535,29.342846        ,65535,34.338058        
39,2016-08-04 07:00:00,65535,28.996777        ,65535,19.164162        ,65535,14.347001        ,65535,17.906519        ,65535,29.342846        ,65535,34.346256        
40,2016-08-04 07:30:00,65535,29.011723        ,65535,19.164162        ,65535,14.342135        ,65535,17.895258        ,65535,29.335546        ,65535,34.346256        
41,2016-08-04 08:00:00,65535,29.019196        ,65535,19.164162        ,65535,14.332402        ,65535,17.884007        ,65535,29.335546        ,65535,34.338058        
42,2016-08-04 08:30:00,65535,29.034145        ,65535,19.164162        ,65535,14.327534        ,65535,17.878384        ,65535,29.335546        ,65535,34.338058        
43,2016-08-04 09:00:00,65535,29.034145        ,65535,19.155849        ,65535,14.317810        ,65535,17.872759        ,65535,29.335546        ,65535,34.338058        
44,2016-08-04 09:30:00,65535,29.034145        ,65535,19.155849        ,65535,14.312949        ,65535,17.867132        ,65535,29.335546        ,65535,34.338058        
45,2016-08-04 10:00:00,65535,29.019196        ,65535,19.155849        ,65535,14.303226        ,65535,17.861509        ,65535,29.335546        ,65535,34.338058        
46,2016-08-04 10:30:00,65535,29.004250        ,65535,19.147535        ,65535,14.293509        ,65535,17.850269        ,65535,29.328247        ,65535,34.338058        
47,2016-08-04 11:00:00,65535,29.011723        ,65535,19.139229        ,65535,14.288653        ,65535,17.844646        ,65535,29.328247        ,65535,34.329872        
48,2016-08-04 11:30:00,65535,28.996777        ,65535,19.130924        ,65535,14.283798        ,65535,17.827801        ,65535,29.320950        ,65535,34.329872        
49,2016-08-04 12:00:00,65535,28.989307        ,65535,19.114317        ,65535,14.274087        ,65535,17.816570        ,65535,29.320950        ,65535,34.329872        
50,2016-08-04 12:30:00,65535,28.981836        ,65535,19.106016        ,65535,14.269236        ,65535,17.810957        ,65535,29.320950        ,65535,34.329872        
51,2016-08-04 13:00:00,65535,28.951973        ,65535,19.089428        ,65535,14.259532        ,65535,17.799736        ,65535,29.313648        ,65535,34.321697        
52,2016-08-04 13:30:00,65535,28.922119        ,65535,19.072842        ,65535,14.254681        ,65535,17.788515        ,65535,29.313648        ,65535,34.329872        
53,2016-08-04 14:00:00,65535,28.855032        ,65535,19.056267        ,65535,14.244984        ,65535,17.777306        ,65535,29.306358        ,65535,34.329872        
54,2016-08-04 14:30:00,65535,28.788029        ,65535,19.039696        ,65535,14.240138        ,65535,17.766092        ,65535,29.306358        ,65535,34.321697        
55,2016-08-04 15:00:00,65535,28.728558        ,65535,19.023138        ,65535,14.235292        ,65535,17.754887        ,65535,29.299059        ,65535,34.321697        
56,2016-08-04 15:30:00,65535,28.654314        ,65535,19.014866        ,65535,14.230444        ,65535,17.743683        ,65535,29.299059        ,65535,34.321697        
57,2016-08-04 16:00:00,65535,28.595003        ,65535,18.998318        ,65535,14.225601        ,65535,17.732487        ,65535,29.299059        ,65535,34.313511        
58,2016-08-04 16:30:00,65535,28.543169        ,65535,18.981781        ,65535,14.220759        ,65535,17.721298        ,65535,29.291771        ,65535,34.313511        
59,2016-08-04 17:00:00,65535,28.483992        ,65535,18.965250        ,65535,14.211073        ,65535,17.710108        ,65535,29.291771        ,65535,34.313511        
60,2016-08-04 17:30:00,65535,28.439659        ,65535,18.956991        ,65535,14.211073        ,65535,17.698923        ,65535,29.284473        ,65535,34.313511        
61,2016-08-04 18:00:00,65535,28.402752        ,65535,18.940475        ,65535,14.206234        ,65535,17.687740        ,65535,29.284473        ,65535,34.313511        
62,2016-08-04 18:30:00,65535,28.358490        ,65535,18.932217        ,65535,14.201393        ,65535,17.676565        ,65535,29.277184        ,65535,34.305328        
63,2016-08-04 19:00:00,65535,28.314274        ,65535,18.923967        ,65535,14.196556        ,65535,17.670982        ,65535,29.277184        ,65535,34.305328        
64,2016-08-04 19:30:00,65535,28.270103        ,65535,18.915718        ,65535,14.196556        ,65535,17.659809        ,65535,29.269897        ,65535,34.305328        
65,2016-08-04 20:00:00,65535,28.218613        ,65535,18.899223        ,65535,14.191721        ,65535,17.643064        ,65535,29.269897        ,65535,34.305328        
66,2016-08-04 20:30:00,65535,28.145164        ,65535,18.890978        ,65535,14.191721        ,65535,17.626324        ,65535,29.269897        ,65535,34.305328        
67,2016-08-04 21:00:00,65535,28.079149        ,65535,18.866262        ,65535,14.186880        ,65535,17.615175        ,65535,29.262604        ,65535,34.297138        
68,2016-08-04 21:30:00,65535,28.020552        ,65535,18.841562        ,65535,14.182046        ,65535,17.604025        ,65535,29.262604        ,65535,34.305328        
69,2016-08-04 22:00:00,65535,27.991283        ,65535,18.825104        ,65535,14.177214        ,65535,17.587307        ,65535,29.255322        ,65535,34.305328        
70,2016-08-04 22:30:00,65535,27.969337        ,65535,18.816881        ,65535,14.172381        ,65535,17.576170        ,65535,29.255322        ,65535,34.305328        
71,2016-08-04 23:00:00,65535,27.962025        ,65535,18.808659        ,65535,14.162714        ,65535,17.565039        ,65535,29.248030        ,65535,34.305328        
72,2016-08-04 23:30:00,65535,27.962025        ,65535,18.800440        ,65535,14.157886        ,65535,17.548344        ,65535,29.248030        ,65535,34.305328        
73,2016-08-05 00:00:00,65535,27.962025        ,65535,18.800440        ,65535,14.148228        ,65535,17.531658        ,65535,29.248030        ,65535,34.305328        
74,2016-08-05 00:30:00,65535,27.969337        ,65535,18.792217        ,65535,14.143402        ,65535,17.526100        ,65535,29.240744        ,65535,34.297138        
75,2016-08-05 01:00:00,65535,27.969337        ,65535,18.792217        ,65535,14.133747        ,65535,17.514982        ,65535,29.240744        ,65535,34.297138        
76,2016-08-05 01:30:00,65535,27.969337        ,65535,18.784002        ,65535,14.124102        ,65535,17.509430        ,65535,29.233459        ,65535,34.297138        
77,2016-08-05 02:00:00,65535,27.962025        ,65535,18.784002        ,65535,14.119278        ,65535,17.498322        ,65535,29.226175        ,65535,34.297138        
78,2016-08-05 02:30:00,65535,27.962025        ,65535,18.784002        ,65535,14.119278        ,65535,17.498322        ,65535,29.211613        ,65535,34.288956        
79,2016-08-05 03:00:00,65535,27.962025        ,65535,18.775791        ,65535,14.109635        ,65535,17.492769        ,65535,29.211613        ,65535,34.280785        
80,2016-08-05 03:30:00,65535,27.962025        ,65535,18.775791        ,65535,14.104815        ,65535,17.476114        ,65535,29.211613        ,65535,34.288956        
81,2016-08-05 04:00:00,65535,27.954716        ,65535,18.775791        ,65535,14.095176        ,65535,17.459473        ,65535,29.211613        ,65535,34.288956        
82,2016-08-05 04:30:00,65535,27.954716        ,65535,18.775791        ,65535,14.090360        ,65535,17.448383        ,65535,29.204332        ,65535,34.288956        
83,2016-08-05 05:00:00,65535,27.947405        ,65535,18.767578        ,65535,14.085546        ,65535,17.431755        ,65535,29.204332        ,65535,34.288956        
