x_ft,elevation_ft
0,610.4548
9.800354282,610.7299
19.60070857,610.9454
29.40106285,611.0582
39.20141713,611.115
49.00177142,611.1302
58.8021257,611.1245
68.60247999,611.1517
78.40283427,611.2631
88.20318856,611.3128
98.00354284,611.4327
107.8038971,611.5053
117.6042514,611.4998
127.4046057,611.5697
137.20496,611.5042
147.0053143,611.4302
156.8056685,611.5162
166.6060228,611.5604
176.4063771,611.6102
186.2067314,611.5834
196.0070857,611.8225
205.80744,612.2316
215.6077943,612.6278
225.4081485,612.7384
235.2085028,612.5044
245.0088571,612.4242
254.8092114,612.7487
264.6095657,612.6255
274.4099199,612.5697
284.2102742,612.6246
294.0106285,612.6737
303.8109828,612.8026
313.6113371,612.8601
323.4116914,612.988
333.2120457,613.0288
343.0123999,613.1125
352.8127542,613.0397
362.6131085,612.9868
372.4134628,612.9959
382.2138171,613.0174
392.0141714,612.847
401.8145256,612.8369
411.6148799,612.8199
421.4152342,612.9312
431.2155885,612.9597
441.0077473,612.9254
450.7999062,612.9065
460.592065,612.8587
470.3842239,612.7385
480.1763827,612.6675
489.9685416,612.6859
499.7607005,612.7695
509.5528593,612.7289
519.3450181,612.6824
529.137177,612.5844
538.9293359,612.5235
548.7214947,612.5569
558.5136536,612.5186
568.3058124,612.3959
578.0979713,612.431
587.8901301,612.372
597.682289,612.2291
607.4744478,612.1508
617.2666067,612.1063
627.0587655,611.9392
636.8509244,611.7504
646.6430832,611.5574
656.4352421,611.4598
666.2274009,611.1938
676.0195598,610.7932
685.8117186,610.456
695.6038775,610.3287
705.3960363,610.1113
715.1881952,609.784
724.8379772,609.3727
734.4877592,609.1146
744.1375412,608.8558
753.7873231,608.7482
763.4371051,608.7819
773.0868871,608.702
782.7366691,608.4721
792.3864511,608.1004
802.0362331,608.0238
811.6860151,608.2085
821.3357971,608.0629
830.9855791,607.9956
840.6353611,607.8664
850.2851431,607.6607
859.9349251,607.3091
869.5847071,607.2057
879.2344891,606.8759
888.8842711,606.718
898.5340531,606.5412
908.1838351,606.5376
917.8336171,606.3537
927.4833991,606.3194
937.4477676,606.2307
947.4121361,606.3185
957.3765047,606.2298
967.3408732,606.1195
977.3052418,606.0313
987.2696103,605.9123
997.2339789,605.8914
1007.198347,606.0003
1017.162716,606.06
1027.127085,606.1951
1037.091453,606.5187
1047.055822,606.606
1057.02019,606.5785
1066.984559,606.3759
1076.948927,606.2581
1086.913296,606.1814
1096.877664,606.1181
1106.842033,606.0398
1116.806401,605.9837
1126.77077,606.0203
1136.735138,606.0244
1146.457951,605.9968
1156.180764,606.0157
1165.903577,606.0495
1175.62639,605.9809
1185.349203,605.9364
1195.072016,606.0212
1204.794829,606.1038
1214.517642,606.1638
1224.240454,606.1896
1233.963267,606.1985
1243.68608,606.1168
1253.408893,606.093
1263.131706,606.0322
1272.854519,606.0341
1282.577332,605.9826
1292.300145,605.9178
1302.022957,606.1316
1311.74577,606.2704
1321.468583,606.284
1331.191396,606.255
1340.914209,606.2443
1350.637022,606.3152
1360.359835,606.5579
1370.082648,606.7057
1379.80546,606.5845
1389.528273,606.5495
1399.251086,606.6191
1408.973899,606.8005
1418.696712,607.3942
