element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
Pb,9,4,12,120,184.358,7.673,32.211,19.942,17.351
Pb,10,1,1,10,185.057,30.625,17.683,24.154,9.152
Pb,10,1,2,20,184.957,11.233,6.027,8.63,3.681
Pb,10,1,3,30,184.857,9.208,10.861,10.035,1.169
Pb,10,2,4,36.92,184.788,5.151,9.056,7.103,2.762
Pb,10,2,5,48.46,184.672,6.073,8.085,7.079,1.423
Pb,10,2,6,60,184.557,44.445,2.595,23.52,29.593
Pb,10,3,7,66.92,184.488,4.861,6.178,5.52,0.931
Pb,10,3,8,78.46,184.372,3.735,6.789,5.262,2.159
Pb,10,3,9,90,184.257,3.636,,3.636,
Pb,10,4,10 (NRx1),95,184.207,3.949,7.563,5.756,2.555
Pb,10,4,11,107.5,184.082,0.281,10.172,5.227,6.994
Pb,10,4,12,120,183.957,8.438,,8.438,
Cu,1,1,1,2.73,184.864,12.935,1.071,7.003,8.389
Cu,1,1,2,16.36,184.727,9.871,7.652,8.761,1.569
Cu,1,1,3,30,184.591,8.891,8.727,8.809,0.116
Cu,1,2,4,39.31,184.498,5.453,6.025,5.739,0.405
Cu,1,2,5,49.66,184.394,4.525,3.455,3.99,0.756
Cu,1,2,6,60,184.291,2.218,6.195,4.206,2.812
Cu,1,3,8,75,184.141,15.687,18.121,16.904,1.721
Cu,1,3,9,90,183.991,25.416,24.822,25.119,0.42
Cu,1,4,10,100,183.891,11.556,11.679,11.617,0.087
Cu,1,4,11,110,183.791,6.851,10.998,8.925,2.932
Cu,1,4,12,120,183.691,6.756,12.161,9.459,3.822
Cu,2,1,1 (2 Samples),0,184.807,22.919,2.195,12.557,14.654
Cu,2,1,2,15,184.657,19.592,11.29,15.441,5.871
Cu,2,2,4,40,184.407,18.193,15.347,16.77,2.012
Cu,2,2,5,50,184.307,13.185,,13.185,
Cu,2,2,6,60,184.207,4.186,5.187,4.686,0.707
Cu,2,3,7,70,184.107,5.058,3.943,4.5,0.788
Cu,2,3,8,80,184.007,9.493,5.389,7.441,2.903
Cu,2,3,9,90,183.907,26.334,17.675,22.004,6.123
Cu,2,4,10,100,183.807,10.854,18.758,14.806,5.589
Cu,2,4,11,110,183.707,9.648,15.231,12.439,3.948
Cu,2,4,12,120,183.607,6.991,10.698,8.844,2.621
Cu,3,1,2,14.21,184.728,16.927,19.483,18.205,1.807
Cu,3,1,Missing,30,184.57,13.761,,13.761,
Cu,3,2,5,45,184.42,9.457,14.598,12.028,3.636
Cu,3,2,6,60,184.27,11.7,14.171,12.935,1.748
Cu,3,3,8,75,184.12,11.418,19.352,15.385,5.611
Cu,3,3,9,90,183.97,11.277,17.792,14.535,4.607
Cu,3,4,10,100,183.87,16.31,22.312,19.311,4.244
Cu,3,4,11,110,183.77,16.526,22.498,19.512,4.223
Cu,3,4,12,120,183.67,14.116,16.619,15.368,1.77
Cu,4,1,2,14.21,184.609,20.743,27.041,23.892,4.453
Cu,4,1,3,30,184.451,10.724,15.506,13.115,3.381
Cu,4,2,5,41.25,184.339,11.069,18.547,14.808,5.288
Cu,4,2,6,60,184.151,4.795,9.907,7.351,3.614
Cu,4,3,8,75.71,183.994,6.126,11.761,8.943,3.985
Cu,4,3,9,90,183.851,41.81,52.553,47.182,7.597
Cu,4,4,10,100,183.751,19.062,20.119,19.59,0.748
Cu,4,4,11,110,183.651,12.097,13.167,12.632,0.756
