element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
Zn,8,3,8,80,185.764,2.236,8.282,5.259,4.275
Zn,8,3,9,90,185.664,3.771,,3.771,
Zn,8,4,10,100,185.564,7.26,18.683,12.972,8.077
Zn,8,4,11,110,185.464,1.665,7.055,4.36,3.811
Zn,8,4,12,120,185.364,2.153,8.613,5.383,4.568
Zn,9,1,1 (NRx2),6,185.498,149.344,,149.344,
Zn,9,1,2,18,185.378,43.145,16.386,29.766,18.921
Zn,9,1,3,30,185.258,3.441,5.021,4.231,1.118
Zn,9,2,4,37.78,185.18,4.302,8.304,6.303,2.83
Zn,9,2,5,48.89,185.069,1.139,3.975,2.557,2.006
Zn,9,2,6,60,184.958,1.405,6.253,3.829,3.428
Zn,9,3,7,68.57,184.872,3.608,5.718,4.663,1.492
Zn,9,3,8,79.29,184.765,2.02,7.439,4.73,3.832
Zn,9,3,9,90,184.658,628.552,6.576,317.564,439.804
Zn,9,4,10,98.57,184.572,5.442,13.572,9.507,5.748
Zn,9,4,11,109.29,184.465,10.208,22.206,16.207,8.484
Zn,9,4,12,120,184.358,38.448,,38.448,
Zn,10,1,1,10,185.057,32.456,64.236,48.346,22.472
Zn,10,1,2,20,184.957,14.928,35.988,25.458,14.892
Zn,10,1,3,30,184.857,12.891,275.232,144.061,185.503
Zn,10,2,4,36.92,184.788,10.099,112.508,61.304,72.414
Zn,10,2,5,48.46,184.672,12.362,35.1,23.731,16.078
Zn,10,2,6,60,184.557,82.815,42.91,62.863,28.217
Zn,10,3,7,66.92,184.488,13.259,26.44,19.85,9.32
Zn,10,3,8,78.46,184.372,72.106,37.45,54.778,24.506
Zn,10,3,9,90,184.257,19.196,49.679,34.438,21.555
Zn,10,4,10 (NRx1),95,184.207,20.642,,20.642,
Zn,10,4,11,107.5,184.082,1.367,43.753,22.56,29.971
Zn,10,4,12,120,183.957,24.75,50.281,37.516,18.053
Ca,1,1,1,2.73,184.864,,307.061,307.061,
Ca,1,1,2,16.36,184.727,,299.339,299.339,
Ca,1,1,3,30,184.591,1920.951,266.077,1093.514,1170.17255
Ca,1,2,4,39.31,184.498,1694.76,228.648,961.704,1036.697584
Ca,1,2,5,49.66,184.394,1506.843,220.772,863.808,909.3894572
Ca,1,2,6,60,184.291,,193.974,193.974,
Ca,1,3,8,75,184.141,,382.961,382.961,
Ca,1,3,9,90,183.991,,503.933,503.933,
Ca,1,4,10,100,183.891,,2091.943,2091.943,
Ca,1,4,11,110,183.791,,2357.742,2357.742,
Ca,1,4,12,120,183.691,,3898.543,3898.543,
Ca,2,1,1 (2 Samples),0,184.807,,402.648,402.648,
Ca,2,1,2,15,184.657,,498.567,498.567,
Ca,2,2,4,40,184.407,,395.274,395.274,
Ca,2,2,5,50,184.307,,,,
Ca,2,2,6,60,184.207,1607.235,228.841,918.038,974.6716781
Ca,2,3,7,70,184.107,1677.296,263.488,970.392,999.7136907
Ca,2,3,8,80,184.007,1863.806,321.226,1092.516,1090.768798
Ca,2,3,9,90,183.907,,250.035,250.035,
Ca,2,4,10,100,183.807,,637.89,637.89,
Ca,2,4,11,110,183.707,,2575.013,2575.013,
Ca,2,4,12,120,183.607,,2901.309,2901.309,
Ca,3,1,2,14.21,184.728,1900.134,253.385,1076.76,1164.427761
Ca,3,1,Missing,30,184.57,,,,
Ca,3,2,5,45,184.42,,283.501,283.501,
Ca,3,2,6,60,184.27,,343.981,343.981,
Ca,3,3,8,75,184.12,,298.359,298.359,
Ca,3,3,9,90,183.97,1121.821,173.528,647.675,670.5444031
Ca,3,4,10,100,183.87,1754.743,208.311,981.527,1093.493052
Ca,3,4,11,110,183.77,2026.634,436.938,1231.786,1124.084921
Ca,3,4,12,120,183.67,,1304.558,1304.558,
Ca,4,1,2,14.21,184.609,,387.519,387.519,
Ca,4,1,3,30,184.451,,389.909,389.909,
Ca,4,2,5,41.25,184.339,,466.875,466.875,
Ca,4,2,6,60,184.151,1855.367,357.902,1106.634,1058.86759
Ca,4,3,8,75.71,183.994,,591.855,591.855,
Ca,4,3,9,90,183.851,,604.441,604.441,
Ca,4,4,10,100,183.751,,1090.788,1090.788,
Ca,4,4,11,110,183.651,,3892.155,3892.155,
Ca,4,4,12,120,183.551,,3097.566,3097.566,
Ca,5,1,1,5,184.752,,339.16,339.16,
Ca,5,1,2,17.5,184.627,2199.686,297.912,1248.799,1344.756986
Ca,5,1,3,30,184.502,1836.849,244.971,1040.91,1125.6278
Ca,5,2,4,36.92,184.433,1695.616,239.576,967.596,1029.576287
Ca,5,2,5,48.46,184.317,1405.773,173.496,789.635,871.3517676
Ca,5,2,6,60,184.202,,185.588,185.588,
Ca,5,3,7,66,184.142,1420.448,185.588,803.018,873.177387
Ca,5,3,8,78,184.022,,2009.657,2009.657,
Ca,5,3,9,90,183.902,,1025.122,1025.122,
Ca,5,4,10,98.57,183.816,1723.843,335.134,1029.489,981.9656223
Ca,5,4,11,109.29,183.709,919.341,112.382,515.862,570.606393
Ca,5,4,12,120,183.602,1458.783,248.114,853.448,856.0721036
Ca,6,1,1,8.57,185.017,,,,
Ca,6,1,2,19.29,184.91,,300.927,300.927,
Ca,6,1,3,30,184.803,1680.425,,1680.425,
Ca,6,2,4,37.78,184.725,1436.706,189.819,813.262,881.6825209
Ca,6,2,5,48.89,184.614,1164.05,138.546,651.298,725.1409845
Ca,6,2,6,60,184.503,1100.776,151.522,626.149,671.2241028
Ca,6,3,8,75.71,184.346,1279.875,141.973,710.924,804.6182438
Ca,6,3,9,90,184.203,1215.734,159.719,687.726,746.7155224
Ca,6,4,10,97.78,184.125,1409.362,137.823,773.592,899.1139016
Ca,6,4,11,108.89,184.014,1309.422,231.405,770.414,762.2731719
Ca,6,4,12,120,183.903,1458.295,219.211,838.753,876.1645361
Ca,7,1,1,7.78,185.93,1159.402,147.391,653.396,715.5999538
Ca,7,1,2,18.89,185.819,462.16,90.288,276.224,262.9536947
Ca,7,1,3,30,185.708,285.532,36.53,161.031,176.0715327
Ca,7,2,4,40,185.608,335.412,32.027,183.719,214.5261998
Ca,7,2,5,50,185.508,237.505,22.398,129.951,152.1038589
Ca,7,2,6,60,185.408,284.378,37.398,160.888,174.6412538
Ca,7,3,8,75.71,185.251,633.68,75.854,354.767,394.4424436
Ca,7,3,9,90,185.108,861.592,112.395,486.993,529.761991
Ca,7,4,10,96,185.048,784.088,120.638,452.363,469.1301131
Ca,7,4,11,108,184.928,708.25,88.038,398.144,438.5559686
Ca,7,4,12,120,184.808,767.745,75.615,421.68,489.4100305
Ca,8,1,1 (NRx2),5,186.514,1701.737,,1701.737,
Ca,8,1,2,17.5,186.389,760.407,154.112,457.26,428.7159256
Ca,8,1,3,30,186.264,121.54,12.453,66.997,77.13632178
Ca,8,2,4,36.92,186.195,469.61,36.732,253.171,306.0907234
Ca,8,2,5,48.46,186.079,55.871,6.029,30.95,35.24338341
Ca,8,2,6,60,185.964,26.91,5.918,16.414,14.84360004
Ca,8,3,7,70,185.864,258.368,30.893,144.63,160.8488577
Ca,8,3,8,80,185.764,42.846,6.172,24.509,25.93244347
Ca,8,3,9,90,185.664,25.432,,25.432,
Ca,8,4,10,100,185.564,241.483,38.845,140.164,143.2864864
Ca,8,4,11,110,185.464,13.665,6.698,10.182,4.926354272
Ca,8,4,12,120,185.364,15.276,11.277,13.276,2.827467894
Ca,9,1,1 (NRx2),6,185.498,,,,
Ca,9,1,2,18,185.378,1274.134,57.986,666.06,859.9463164
Ca,9,1,3,30,185.258,120.633,18.422,69.528,72.27382054
Ca,9,2,4,37.78,185.18,160.469,28.91,94.689,93.02624633
Ca,9,2,5,48.89,185.069,53.398,9.244,31.321,31.22133201
Ca,9,2,6,60,184.958,117.174,16.818,66.996,70.96222531
Ca,9,3,7,68.57,184.872,193.14,16.564,104.852,124.8579075
Ca,9,3,8,79.29,184.765,70.073,16.083,43.078,38.17641512
Ca,9,3,9,90,184.658,102.736,5.828,54.282,68.52446234
Ca,9,4,10,98.57,184.572,276.442,35.984,156.213,170.0289389
Ca,9,4,11,109.29,184.465,682.634,90.311,386.473,418.8355557
Ca,9,4,12,120,184.358,1919.019,,1919.019,
Ca,10,1,1,10,185.057,,442.579,442.579,
Ca,10,1,2,20,184.957,1286.775,318.313,802.544,684.8065306
Ca,10,1,3,30,184.857,,252.609,252.609,
Ca,10,2,4,36.92,184.788,1395.542,284.889,840.216,785.3504019
Ca,10,2,5,48.46,184.672,1472.541,234.548,853.545,875.3930718
Ca,10,2,6,60,184.557,982.709,206.876,594.793,548.5969679
Ca,10,3,7,66.92,184.488,1203.488,122.286,662.887,764.525807
Ca,10,3,8,78.46,184.372,1114.1,191.273,652.687,652.5370698
Ca,10,3,9,90,184.257,,417.515,417.515,
Ca,10,4,10 (NRx1),95,184.207,,,,
Ca,10,4,11,107.5,184.082,584.765,1454.882,1019.824,615.2657066
Ca,10,4,12,120,183.957,,1172.373,1172.373,
K,1,1,1,2.73,184.864,341.292,203.628,272.46,97.343
K,1,1,2,16.36,184.727,168.685,173.112,170.899,3.13
K,1,1,3,30,184.591,149.415,138.542,143.978,7.688
K,1,2,4,39.31,184.498,150.536,132.924,141.73,12.454
K,1,2,5,49.66,184.394,157.73,129.7,143.715,19.82
K,1,2,6,60,184.291,141.517,123.137,132.327,12.996
K,1,3,8,75,184.141,327.447,366.258,346.853,27.444
K,1,3,9,90,183.991,865.98,897.07,881.525,21.984
K,1,4,10,100,183.891,521.448,524.622,523.035,2.244
K,1,4,11,110,183.791,395.681,436.386,416.034,28.783
K,1,4,12,120,183.691,477.886,528.099,502.993,35.506
K,2,1,1 (2 Samples),0,184.807,284.369,196.042,240.206,62.457
K,2,1,2,15,184.657,209.461,181.543,195.502,19.741
K,2,2,4,40,184.407,143.377,145.561,144.469,1.545
K,2,2,5,50,184.307,136.619,,136.619,
K,2,2,6,60,184.207,121.276,118.436,119.856,2.008
K,2,3,7,70,184.107,120.201,112.213,116.207,5.648
K,2,3,8,80,184.007,252.828,299.242,276.035,32.82
K,2,3,9,90,183.907,251.5,238.34,244.92,9.306
K,2,4,10,100,183.807,211.594,368.531,290.063,110.971
K,2,4,11,110,183.707,387.028,633.649,510.338,174.387
K,2,4,12,120,183.607,348.137,538.445,443.291,134.568
K,3,1,2,14.21,184.728,169.218,,169.218,
K,3,1,Missing,30,184.57,132.088,730.51,431.299,423.148
K,3,2,5,45,184.42,108.36,143.233,125.796,24.658
K,3,2,6,60,184.27,162.762,187.131,174.947,17.231
K,3,3,8,75,184.12,192.213,221.086,206.65,20.417
K,3,3,9,90,183.97,177.409,1099.61,638.51,652.095
K,3,4,10,100,183.87,168.752,189.718,179.235,14.825
K,3,4,11,110,183.77,180.366,232.152,206.259,36.619
K,3,4,12,120,183.67,225.011,282.903,253.957,40.936
K,4,1,2,14.21,184.609,167.349,210.12,188.734,30.244
K,4,1,3,30,184.451,66.88,122.607,94.744,39.405
K,4,2,5,41.25,184.339,93.842,207.003,150.423,80.017
K,4,2,6,60,184.151,128.94,215.022,171.981,60.87
K,4,3,8,75.71,183.994,307.964,522.85,415.407,151.947
K,4,3,9,90,183.851,328.671,458.342,393.506,91.691
K,4,4,10,100,183.751,563.394,1030.702,797.048,330.437
K,4,4,11,110,183.651,448.554,602.99,525.772,109.203
K,4,4,12,120,183.551,457.628,616.725,537.177,112.499
K,5,1,1,5,184.752,363.234,164.97,264.102,140.194
K,5,1,2,17.5,184.627,83.838,123.096,103.467,27.759
K,5,1,3,30,184.502,74.004,119.531,96.768,32.192
K,5,2,4,36.92,184.433,100.933,113.966,107.45,9.216
K,5,2,5,48.46,184.317,125.869,137.233,131.551,8.035
K,5,2,6,60,184.202,133.885,139.802,136.843,4.184
K,5,3,7,66,184.142,103.586,139.802,121.694,25.608
K,5,3,8,78,184.022,321.684,415.635,368.659,66.433
K,5,3,9,90,183.902,182.585,349.81,266.198,118.245
K,5,4,10,98.57,183.816,164.579,197.416,180.997,23.219
K,5,4,11,109.29,183.709,128.302,217.064,172.683,62.764
K,5,4,12,120,183.602,121.214,208.139,164.676,61.466
K,6,1,1,8.57,185.017,96.888,,96.888,
K,6,1,2,19.29,184.91,110.182,118.736,114.459,6.049
K,6,1,3,30,184.803,63.491,,63.491,
K,6,2,4,37.78,184.725,85.882,105.767,95.825,14.061
K,6,2,5,48.89,184.614,102.941,114.047,108.494,7.853
K,6,2,6,60,184.503,105.758,142.225,123.992,25.786
K,6,3,8,75.71,184.346,134.653,142.601,138.627,5.62
K,6,3,9,90,184.203,111.556,175.717,143.637,45.368
K,6,4,10,97.78,184.125,155.066,144.265,149.666,7.637
K,6,4,11,108.89,184.014,137.081,194.358,165.719,40.501
K,6,4,12,120,183.903,176.039,264.242,220.14,62.369
K,7,1,1,7.78,185.93,214.711,231.79,223.25,12.076
K,7,1,2,18.89,185.819,107.681,258.404,183.043,106.577
K,7,1,3,30,185.708,63.858,75.005,69.431,7.882
K,7,2,4,40,185.608,63.458,68.099,65.778,3.282
K,7,2,5,50,185.508,53.146,52.069,52.608,0.762
K,7,2,6,60,185.408,50.213,83.504,66.859,23.54
K,7,3,8,75.71,185.251,72.791,111.111,91.951,27.096
K,7,3,9,90,185.108,108.394,185.459,146.926,54.493
K,7,4,10,96,185.048,132.719,165.125,148.922,22.914
K,7,4,11,108,184.928,94.709,113.297,104.003,13.144
K,7,4,12,120,184.808,84.984,87.954,86.469,2.101
K,8,1,1 (NRx2),5,186.514,518.77,,518.77,
K,8,1,2,17.5,186.389,261.784,380.555,321.17,83.984
K,8,1,3,30,186.264,82.32,108.655,95.488,18.622
K,8,2,4,36.92,186.195,134.442,138.13,136.286,2.608
K,8,2,5,48.46,186.079,44.341,70.746,57.543,18.671
K,8,2,6,60,185.964,25.817,74.463,50.14,34.398
K,8,3,7,70,185.864,65.833,106.666,86.25,28.873
K,8,3,8,80,185.764,24.636,67.367,46.002,30.216
K,8,3,9,90,185.664,30.714,,30.714,
K,8,4,10,100,185.564,57.085,381.831,219.458,229.631
K,8,4,11,110,185.464,27.038,57.181,42.11,21.315
K,8,4,12,120,185.364,44.339,78.847,61.593,24.401
K,9,1,1 (NRx2),6,185.498,198.537,,198.537,
K,9,1,2,18,185.378,129.901,220.935,175.418,64.371
K,9,1,3,30,185.258,30.934,45.194,38.064,10.084
K,9,2,4,37.78,185.18,31.44,53.173,42.307,15.367
K,9,2,5,48.89,185.069,17.033,35.931,26.482,13.362
K,9,2,6,60,184.958,14.376,29.325,21.851,10.57
K,9,3,7,68.57,184.872,21.52,32.994,27.257,8.113
K,9,3,8,79.29,184.765,18.825,54.316,36.57,25.096
K,9,3,9,90,184.658,35.798,67.975,51.886,22.753
K,9,4,10,98.57,184.572,60.055,97.149,78.602,26.229
K,9,4,11,109.29,184.465,106.053,160.269,133.161,38.336
K,9,4,12,120,184.358,198.113,,198.113,
K,10,1,1,10,185.057,135.087,229.596,182.342,66.828
K,10,1,2,20,184.957,47.532,140.322,93.927,65.612
K,10,1,3,30,184.857,105.796,115.283,110.54,6.708
K,10,2,4,36.92,184.788,109.861,204.894,157.378,67.198
K,10,2,5,48.46,184.672,137.296,248.253,192.774,78.459
K,10,2,6,60,184.557,141.096,234.049,187.573,65.728
K,10,3,7,66.92,184.488,129.408,118.084,123.746,8.007
K,10,3,8,78.46,184.372,108.126,234.307,171.217,89.224
K,10,3,9,90,184.257,150.092,295.355,222.723,102.716
K,10,4,10 (NRx1),95,184.207,200.871,,200.871,
K,10,4,11,107.5,184.082,4.619,339.172,171.895,236.565
K,10,4,12,120,183.957,219.284,334.837,277.06,81.708
Mg,1,1,1,2.73,184.864,652.016,912.997,782.507,184.542
Mg,1,1,2,16.36,184.727,791.548,973.899,882.723,128.942
Mg,1,1,3,30,184.591,796.705,1020.884,908.794,158.518
Mg,1,2,4,39.31,184.498,810.093,1052.339,931.216,171.294
Mg,1,2,5,49.66,184.394,850.918,1204.549,1027.734,250.055
Mg,1,2,6,60,184.291,833.126,1211.42,1022.273,267.494
Mg,1,3,8,75,184.141,1517.607,2445.697,1981.652,656.259
Mg,1,3,9,90,183.991,2722.597,3065.303,2893.95,242.33
Mg,1,4,10,100,183.891,4268.215,,4268.215,
Mg,1,4,11,110,183.791,4101.744,,4101.744,
Mg,1,4,12,120,183.691,4436.305,,4436.305,
Mg,2,1,1 (2 Samples),0,184.807,873.113,1128.188,1000.65,180.366
Mg,2,1,2,15,184.657,998.774,1411.811,1205.293,292.062
Mg,2,2,4,40,184.407,948.035,1086.725,1017.38,98.069
Mg,2,2,5,50,184.307,763.464,,763.464,
Mg,2,2,6,60,184.207,779.376,1002.092,890.734,157.484
Mg,2,3,7,70,184.107,861.905,1220.706,1041.305,253.71
Mg,2,3,8,80,184.007,1221.267,1936.19,1578.728,505.527
Mg,2,3,9,90,183.907,1330.454,1519.808,1425.131,133.894
Mg,2,4,10,100,183.807,2471.618,2669.69,2570.654,140.058
Mg,2,4,11,110,183.707,,,,
Mg,2,4,12,120,183.607,3861.996,4158.65,4010.323,209.766
Mg,3,1,2,14.21,184.728,680.663,,680.663,
Mg,3,1,Missing,30,184.57,831.527,1314.89,1073.209,341.789
Mg,3,2,5,45,184.42,697.148,1042.15,869.649,243.953
Mg,3,2,6,60,184.27,1113.185,1388.422,1250.803,194.622
Mg,3,3,8,75,184.12,1202.664,1580.088,1391.376,266.879
Mg,3,3,9,90,183.97,981.339,1168.466,1074.903,132.318
Mg,3,4,10,100,183.87,1183.118,1471.406,1327.262,203.851
Mg,3,4,11,110,183.77,1371.698,2095.189,1733.443,511.585
Mg,3,4,12,120,183.67,2226.57,,2226.57,
Mg,4,1,2,14.21,184.609,804.203,994.536,899.37,134.585
Mg,4,1,3,30,184.451,609.355,1125.013,867.184,364.625
Mg,4,2,5,41.25,184.339,742.354,1625.895,1184.125,624.757
Mg,4,2,6,60,184.151,915.805,1660.028,1287.916,526.245
Mg,4,3,8,75.71,183.994,1519.817,2645.891,2082.854,796.254
Mg,4,3,9,90,183.851,1513.214,2361.845,1937.529,600.073
Mg,4,4,10,100,183.751,2082.27,,2082.27,
Mg,4,4,11,110,183.651,3811.767,,3811.767,
Mg,4,4,12,120,183.551,4362.675,,4362.675,
Mg,5,1,1,5,184.752,1009.442,731.368,870.405,196.628
Mg,5,1,2,17.5,184.627,579.005,767.251,673.128,133.11
Mg,5,1,3,30,184.502,528.852,863.926,696.389,236.933
Mg,5,2,4,36.92,184.433,633.7,972.18,802.94,239.341
Mg,5,2,5,48.46,184.317,733.972,1004.244,869.108,191.112
Mg,5,2,6,60,184.202,770.547,1044.41,907.479,193.651
Mg,5,3,7,66,184.142,648.717,1044.41,846.564,279.797
Mg,5,3,8,78,184.022,,5053.961,5053.961,
Mg,5,3,9,90,183.902,1274.127,3647.153,2460.64,1677.983
Mg,5,4,10,98.57,183.816,1094.748,1685.471,1390.11,417.704
Mg,5,4,11,109.29,183.709,533.236,1060.661,796.948,372.946
Mg,5,4,12,120,183.602,858.145,1552.147,1205.146,490.733
Mg,6,1,1,8.57,185.017,582.508,,582.508,
Mg,6,1,2,19.29,184.91,606.466,896.329,751.397,204.964
Mg,6,1,3,30,184.803,509.888,,509.888,
Mg,6,2,4,37.78,184.725,561.934,843.967,702.951,199.428
Mg,6,2,5,48.89,184.614,530.844,765.444,648.144,165.887
Mg,6,2,6,60,184.503,496.657,915.561,706.109,296.21
Mg,6,3,8,75.71,184.346,628.794,1035.739,832.266,287.754
Mg,6,3,9,90,184.203,565.687,1001.265,783.476,308
Mg,6,4,10,97.78,184.125,790.439,860.637,825.538,49.638
Mg,6,4,11,108.89,184.014,703.128,1310.166,1006.647,429.241
Mg,6,4,12,120,183.903,988.551,1458.717,1223.634,332.458
Mg,7,1,1,7.78,185.93,338.259,629.277,483.768,205.781
Mg,7,1,2,18.89,185.819,182.165,746.58,464.373,399.102
Mg,7,1,3,30,185.708,126.13,502.628,314.379,266.224
Mg,7,2,4,40,185.608,151.522,603.808,377.665,319.814
Mg,7,2,5,50,185.508,130.124,487.599,308.862,252.773
Mg,7,2,6,60,185.408,179.664,681.341,430.502,354.739
Mg,7,3,8,75.71,185.251,298.685,847.793,573.239,388.278
Mg,7,3,9,90,185.108,496.356,1194.16,845.258,493.421
Mg,7,4,10,96,185.048,394.874,1111.749,753.312,506.908
Mg,7,4,11,108,184.928,413.64,788.455,601.048,265.035
Mg,7,4,12,120,184.808,353.489,751.812,552.65,281.657
Mg,8,1,1 (NRx2),5,186.514,496.356,,496.356,
Mg,8,1,2,17.5,186.389,394.874,504.895,449.885,77.797
Mg,8,1,3,30,186.264,496.356,230.554,363.455,187.951
Mg,8,2,4,36.92,186.195,394.874,242.055,318.464,108.059
Mg,8,2,5,48.46,186.079,496.356,250.764,373.56,173.66
Mg,8,2,6,60,185.964,394.874,344.583,369.728,35.561
Mg,8,3,7,70,185.864,496.356,366.932,431.644,91.517
Mg,8,3,8,80,185.764,394.874,419.454,407.164,17.381
Mg,8,3,9,90,185.664,496.356,,496.356,
Mg,8,4,10,100,185.564,394.874,434.639,414.756,28.118
Mg,8,4,11,110,185.464,496.356,345.752,421.054,106.493
Mg,8,4,12,120,185.364,394.874,386.214,390.544,6.124
Mg,9,1,1 (NRx2),6,185.498,367.899,,367.899,
Mg,9,1,2,18,185.378,554.498,127.365,340.931,302.029
Mg,9,1,3,30,185.258,20.598,59.529,40.063,27.529
Mg,9,2,4,37.78,185.18,31.049,81.684,56.366,35.804
Mg,9,2,5,48.89,185.069,16.862,87.808,52.335,50.166
Mg,9,2,6,60,184.958,27.049,160.183,93.616,94.14
Mg,9,3,7,68.57,184.872,38.109,170.844,104.477,93.858
Mg,9,3,8,79.29,184.765,31.633,256.8,144.216,159.217
Mg,9,3,9,90,184.658,55.145,263.331,159.238,147.21
Mg,9,4,10,98.57,184.572,88.921,273.19,181.056,130.298
Mg,9,4,11,109.29,184.465,259.54,685.542,472.541,301.229
Mg,9,4,12,120,184.358,638.185,,638.185,
Mg,10,1,1,10,185.057,735.879,1266.722,1001.301,375.362
Mg,10,1,2,20,184.957,377.258,1260.12,818.689,624.278
Mg,10,1,3,30,184.857,711.071,1133.618,922.344,298.786
Mg,10,2,4,36.92,184.788,594.805,1653.184,1123.995,748.387
Mg,10,2,5,48.46,184.672,640.875,1505.083,1072.979,611.087
Mg,10,2,6,60,184.557,163.268,1556.473,859.87,985.145
Mg,10,3,7,66.92,184.488,534.062,1202.671,868.367,472.778
Mg,10,3,8,78.46,184.372,571.734,1484.258,1027.996,645.252
Mg,10,3,9,90,184.257,2152.731,2376.904,2264.817,158.514
Mg,10,4,10 (NRx1),95,184.207,3661.652,,3661.652,
Mg,10,4,11,107.5,184.082,336.034,,336.034,
Mg,10,4,12,120,183.957,2689.073,,2689.073,
P,1,1,1,2.73,184.864,291.344,6.419,148.882,201.472
P,1,1,2,16.36,184.727,154.09,96.443,125.267,40.762
P,1,1,3,30,184.591,119.786,88.598,104.192,22.053
P,1,2,4,39.31,184.498,88.49,65.748,77.119,16.081
P,1,2,5,49.66,184.394,118.614,11.988,65.301,75.396
P,1,2,6,60,184.291,141.201,11.947,76.574,91.396
P,1,3,8,75,184.141,228.458,134.625,181.542,66.35
P,1,3,9,90,183.991,307.317,204.438,255.877,72.747
P,1,4,10,100,183.891,367.747,197.333,282.54,120.5
P,1,4,11,110,183.791,289.833,32.826,161.33,181.731
P,1,4,12,120,183.691,301.092,219.746,260.419,57.521
P,2,1,1 (2 Samples),0,184.807,460.956,15.815,238.386,314.762
P,2,1,2,15,184.657,355.65,134.09,244.87,156.667
P,2,2,4,40,184.407,183.22,106.142,144.681,54.502
P,2,2,5,50,184.307,173.26,,173.26,
P,2,2,6,60,184.207,216.827,73.468,145.147,101.37
P,2,3,7,70,184.107,103.637,58.29,80.963,32.065
P,2,3,8,80,184.007,232.572,48.144,140.358,130.41
P,2,3,9,90,183.907,243.715,172.652,208.183,50.249
P,2,4,10,100,183.807,238.446,175.607,207.026,44.434
P,2,4,11,110,183.707,301.535,211.367,256.451,63.759
P,2,4,12,120,183.607,250.868,186.571,218.719,45.465
P,3,1,2,14.21,184.728,306.606,,306.606,
P,3,1,Missing,30,184.57,197.019,147.916,172.467,34.721
P,3,2,5,45,184.42,166.843,103.396,135.119,44.864
P,3,2,6,60,184.27,205.418,96.825,151.122,76.787
P,3,3,8,75,184.12,235.302,170.859,203.081,45.568
P,3,3,9,90,183.97,167.426,140.738,154.082,18.871
P,3,4,10,100,183.87,178.716,133.533,156.125,31.949
P,3,4,11,110,183.77,175.218,130.272,152.745,31.782
P,3,4,12,120,183.67,216.278,167.135,191.707,34.749
P,4,1,2,14.21,184.609,420.123,228.979,324.551,135.159
P,4,1,3,30,184.451,215.786,180.401,198.093,25.021
P,4,2,5,41.25,184.339,218.349,186.107,202.228,22.799
P,4,2,6,60,184.151,216.093,170.373,193.233,32.329
P,4,3,8,75.71,183.994,111.408,152.699,132.053,29.197
P,4,3,9,90,183.851,278.11,215.377,246.743,44.359
P,4,4,10,100,183.751,319.657,200.008,259.833,84.605
P,4,4,11,110,183.651,267.516,162.983,215.25,73.916
P,4,4,12,120,183.551,295.509,204.222,249.865,64.55
P,5,1,1,5,184.752,712.96,196.117,454.538,365.463
P,5,1,2,17.5,184.627,259.459,147.41,203.434,79.23
P,5,1,3,30,184.502,167.875,125.489,146.682,29.971
P,5,2,4,36.92,184.433,149.577,105.438,127.507,31.211
P,5,2,5,48.46,184.317,101.237,88.078,94.658,9.305
P,5,2,6,60,184.202,257.292,104.983,181.138,107.699
P,5,3,7,66,184.142,147.671,104.983,126.327,30.185
P,5,3,8,78,184.022,247.681,172.282,209.982,53.315
P,5,3,9,90,183.902,226.424,160.903,193.663,46.33
P,5,4,10,98.57,183.816,203.613,136.227,169.92,47.649
P,5,4,11,109.29,183.709,228.198,128.17,178.184,70.731
P,5,4,12,120,183.602,180.338,137,158.669,30.645
P,6,1,1,8.57,185.017,308.777,,308.777,
P,6,1,2,19.29,184.91,261.151,138.477,199.814,86.743
P,6,1,3,30,184.803,140.121,,140.121,
P,6,2,4,37.78,184.725,68.648,43.227,55.937,17.976
P,6,2,5,48.89,184.614,68.787,48.247,58.517,14.524
P,6,2,6,60,184.503,48.58,59.434,54.007,7.676
P,6,3,8,75.71,184.346,117.279,60.989,89.134,39.803
P,6,3,9,90,184.203,134.395,77.943,106.169,39.917
P,6,4,10,97.78,184.125,154.188,92.17,123.179,43.853
P,6,4,11,108.89,184.014,204.903,147.075,175.989,40.891
P,6,4,12,120,183.903,214.634,126.239,170.436,62.505
P,7,1,1,7.78,185.93,501.391,278.697,390.044,157.469
P,7,1,2,18.89,185.819,333.495,366.966,350.231,23.668
P,7,1,3,30,185.708,290.219,8.446,149.332,199.243
P,7,2,4,40,185.608,211.229,2.419,106.824,147.651
P,7,2,5,50,185.508,151.084,1.584,76.334,105.712
P,7,2,6,60,185.408,48.225,17.816,33.02,21.502
P,7,3,8,75.71,185.251,117.832,48.236,83.034,49.211
P,7,3,9,90,185.108,31.717,42.376,37.046,7.537
P,7,4,10,96,185.048,81.171,8.775,44.973,51.191
P,7,4,11,108,184.928,102.665,1.126,51.896,71.799
P,7,4,12,120,184.808,168.986,5.596,87.291,115.534
P,8,1,1 (NRx2),5,186.514,379.766,,379.766,
P,8,1,2,17.5,186.389,311.191,223.967,267.579,61.677
P,8,1,3,30,186.264,227.416,129.475,178.446,69.255
P,8,2,4,36.92,186.195,213.748,113.104,163.426,71.166
P,8,2,5,48.46,186.079,177.064,111.942,144.503,46.049
P,8,2,6,60,185.964,182.06,141.469,161.764,28.702
P,8,3,7,70,185.864,205.934,125.73,165.832,56.713
P,8,3,8,80,185.764,92.347,77.825,85.086,10.268
P,8,3,9,90,185.664,45.59,,45.59,
