well,core,section,cum_depth_cm,bottom_elev_m,top_elev_m,toggle_period_seconds
WLW8,2.0,6.0,60.0,185.9638128,186.079197415,820980.0
WLW8,3.0,7.0,70.0,185.8638128,185.9638128,2280500.0
WLW8,3.0,8.0,80.0,185.7638128,185.8638128,1140250.0
WLW8,3.0,9.0,90.0,185.6638128,185.7638128,2280500.0
WLW8,4.0,10.0,100.0,185.5638128,185.6638128,621954.545455
WLW8,4.0,11.0,110.0,185.4638128,185.5638128,621954.545455
WLW8,4.0,12.0,120.0,185.3638128,185.4638128,621954.545455
WLW9,1.0,1.0,6.0,185.497668,185.557668,
WLW9,1.0,2.0,18.0,185.377668,185.497668,1080189.47368
WLW9,1.0,3.0,30.0,185.257668,185.377668,789369.230769
WLW9,2.0,4.0,37.7777777778,185.179890222,185.257668,1578738.46154
WLW9,2.0,5.0,48.8888888889,185.068779111,185.179890222,855150.0
WLW9,2.0,6.0,60.0,184.957668,185.068779111,1026180.0
WLW9,3.0,7.0,68.5714285714,184.871953714,184.957668,2931942.85714
WLW9,3.0,8.0,79.2857142857,184.764810857,184.871953714,6841200.0
WLW9,3.0,9.0,90.0,184.657668,184.764810857,6841200.0
WLW9,4.0,10.0,98.5714285714,184.571953714,184.657668,4104720.0
WLW9,4.0,11.0,109.285714286,184.464810857,184.571953714,789369.230769
WLW9,4.0,12.0,120.0,184.357668,184.464810857,789369.230769
WLW10,1.0,1.0,10.0,185.0565512,185.1565512,789334.615385
WLW10,1.0,2.0,20.0,184.9565512,185.0565512,446145.652174
WLW10,1.0,3.0,30.0,184.8565512,184.9565512,662022.580645
WLW10,2.0,4.0,36.9230769231,184.787320431,184.8565512,540071.052632
WLW10,2.0,5.0,48.4615384615,184.671935815,184.787320431,892291.304348
WLW10,2.0,6.0,60.0,184.5565512,184.671935815,1207217.64706
WLW10,3.0,7.0,66.9230769231,184.487320431,184.5565512,732953.571429
WLW10,3.0,8.0,78.4615384615,184.371935815,184.487320431,1140150.0
WLW10,3.0,9.0,90.0,184.2565512,184.371935815,570075.0
WLW10,4.0,10.0,95.0,184.2065512,184.2565512,855112.5
WLW10,4.0,11.0,107.5,184.0815512,184.2065512,1026135.0
WLW10,4.0,12.0,120.0,183.9565512,184.0815512,1026135.0
