,date_time,A1_raw,A1_moisture,A2_raw,A2_moisture,A3_raw,A3_moisture,A4_raw,A4_moisture,A5_raw,A5_moisture,A6_raw,A6_moisture
0,2016-06-27 06:00:00,65535,,65535,,65535,,65535,,65535,,65535,
1,2016-06-27 06:30:00,65535,,65535,,65535,,65535,,65535,,65535,
2,2016-06-27 07:00:00,65535,,65535,,65535,,65535,,65535,,65535,
3,2016-06-27 07:30:00,65535,,65535,,65535,,65535,,65535,,65535,
4,2016-06-27 08:00:00,65535,,65535,,65535,,65535,,65535,,65535,
5,2016-06-27 08:30:00,65535,,65535,,65535,,65535,,65535,,65535,
6,2016-06-27 09:00:00,65535,,65535,,65535,,65535,,65535,,65535,
7,2016-06-27 09:30:00,65535,,65535,,65535,,65535,,65535,,65535,
8,2016-06-27 10:00:00,65535,,65535,,65535,,65535,,65535,,65535,
9,2016-06-27 10:30:00,65535,,65535,,65535,,65535,,65535,,65535,
10,2016-06-27 11:00:00,65535,,65535,,65535,,65535,,65535,,65535,
11,2016-06-27 11:30:00,65535,,65535,,65535,,65535,,65535,,65535,
12,2016-06-27 12:00:00,65535,,65535,,65535,,65535,,65535,,65535,
13,2016-06-27 12:30:00,65535,,65535,,65535,,65535,,65535,,65535,
14,2016-06-27 13:00:00,65535,,65535,,65535,,65535,,65535,,65535,
15,2016-06-27 13:30:00,65535,,65535,,65535,,65535,,65535,,65535,
16,2016-06-27 14:00:00,65535,,65535,,65535,,65535,,65535,,65535,
17,2016-06-27 14:30:00,65535,,65535,,65535,,65535,,65535,,65535,
18,2016-06-27 15:00:00,65535,,65535,,65535,,65535,,65535,,65535,
19,2016-06-27 15:30:00,65535,,65535,,65535,,65535,,65535,,65535,
20,2016-06-27 16:00:00,65535,,65535,,65535,,65535,,65535,,65535,
21,2016-06-27 16:30:00,65535,,65535,,65535,,65535,,65535,,65535,
22,2016-06-27 17:00:00,65535,,65535,,65535,,65535,,65535,,65535,
23,2016-06-27 17:30:00,65535,,65535,,65535,,65535,,65535,,65535,
24,2016-06-27 18:00:00,65535,,65535,,65535,,65535,,65535,,65535,
25,2016-06-27 18:30:00,65535,,65535,,65535,,65535,,65535,,65535,
26,2016-06-27 19:00:00,65535,,65535,,65535,,65535,,65535,,65535,
27,2016-06-27 19:30:00,65535,,65535,,65535,,65535,,65535,,65535,
28,2016-06-27 20:00:00,65535,,65535,,65535,,65535,,65535,,65535,
29,2016-06-27 20:30:00,65535,,65535,,65535,,65535,,65535,,65535,
30,2016-06-27 21:00:00,65535,,65535,,65535,,65535,,65535,,65535,
31,2016-06-27 21:30:00,65535,,65535,,65535,,65535,,65535,,65535,
32,2016-06-27 22:00:00,65535,,65535,,65535,,65535,,65535,,65535,
33,2016-06-27 22:30:00,65535,,65535,,65535,,65535,,65535,,65535,
34,2016-06-27 23:00:00,65535,,65535,,65535,,65535,,65535,,65535,
35,2016-06-27 23:30:00,65535,,65535,,65535,,65535,,65535,,65535,
36,2016-06-28 00:00:00,65535,,65535,,65535,,65535,,65535,,65535,
37,2016-06-28 00:30:00,65535,,65535,,65535,,65535,,65535,,65535,
38,2016-06-28 01:00:00,65535,,65535,,65535,,65535,,65535,,65535,
39,2016-06-28 01:30:00,65535,,65535,,65535,,65535,,65535,,65535,
40,2016-06-28 02:00:00,65535,,65535,,65535,,65535,,65535,,65535,
41,2016-06-28 02:30:00,65535,,65535,,65535,,65535,,65535,,65535,
42,2016-06-28 03:00:00,65535,,65535,,65535,,65535,,65535,,65535,
43,2016-06-28 03:30:00,65535,,65535,,65535,,65535,,65535,,65535,
44,2016-06-28 04:00:00,65535,,65535,,65535,,65535,,65535,,65535,
45,2016-06-28 04:30:00,65535,,65535,,65535,,65535,,65535,,65535,
46,2016-06-28 05:00:00,65535,,65535,,65535,,65535,,65535,,65535,
47,2016-06-28 05:30:00,65535,,65535,,65535,,65535,,65535,,65535,
48,2016-06-28 06:00:00,65535,,65535,,65535,,65535,,65535,,65535,
49,2016-06-28 06:30:00,65535,,65535,,65535,,65535,,65535,,65535,
50,2016-06-28 07:00:00,65535,,65535,,65535,,65535,,65535,,65535,
51,2016-06-28 07:30:00,65535,,65535,,65535,,65535,,65535,,65535,
52,2016-06-28 08:00:00,65535,,65535,,65535,,65535,,65535,,65535,
53,2016-06-28 08:30:00,65535,,65535,,65535,,65535,,65535,,65535,
54,2016-06-28 09:00:00,65535,,65535,,65535,,65535,,65535,,65535,
55,2016-06-28 09:30:00,65535,,65535,,65535,,65535,,65535,,65535,
