Moisture Data ASCII output
Logger ID:  IENWUP002SMP
Last Sampling Interval: 30 minutes
Selected Sites, Probes and Sensors: 
Default: P1: 10[A1], 20[A2], 30[A3], 40[A4], 60[A5], 80[A6]
Output Type:  Separate
Index   ,"Date Time"                   ,A1.Raw      ,A1.Moisture[mm]  ,A2.Raw      ,A2.Moisture[mm]  ,A3.Raw      ,A3.Moisture[mm]  ,A4.Raw      ,A4.Moisture[mm]  ,A5.Raw      ,A5.Moisture[mm]  ,A6.Raw      ,A6.Moisture[mm]  ,
0       ,"2016-09-04 18:00:00"         ,65535       ,20.630939        ,65535       ,31.062725        ,65535       ,34.662632        ,65535       ,35.477299        ,65535       ,42.245468        ,65535       ,49.727600        ,
1       ,"2016-09-04 18:30:00"         ,65535       ,20.637085        ,65535       ,31.062725        ,65535       ,34.670914        ,65535       ,35.477299        ,65535       ,42.235985        ,65535       ,49.717262        ,
2       ,"2016-09-04 19:00:00"         ,65535       ,20.649376        ,65535       ,31.073385        ,65535       ,34.670914        ,65535       ,35.477299        ,65535       ,42.235985        ,65535       ,49.717262        ,
3       ,"2016-09-04 19:30:00"         ,65535       ,20.655519        ,65535       ,31.073385        ,65535       ,34.679188        ,65535       ,35.477299        ,65535       ,42.235985        ,65535       ,49.727600        ,
4       ,"2016-09-04 20:00:00"         ,65535       ,20.661669        ,65535       ,31.062725        ,65535       ,34.687473        ,65535       ,35.477299        ,65535       ,42.235985        ,65535       ,49.727600        ,
5       ,"2016-09-04 20:30:00"         ,65535       ,20.673965        ,65535       ,31.062725        ,65535       ,34.687473        ,65535       ,35.477299        ,65535       ,42.226528        ,65535       ,49.727600        ,
6       ,"2016-09-04 21:00:00"         ,65535       ,20.698574        ,65535       ,31.052059        ,65535       ,34.687473        ,65535       ,35.477299        ,65535       ,42.226528        ,65535       ,49.727600        ,
7       ,"2016-09-04 21:30:00"         ,65535       ,20.723202        ,65535       ,31.041395        ,65535       ,34.687473        ,65535       ,35.477299        ,65535       ,42.226528        ,65535       ,49.727600        ,
8       ,"2016-09-04 22:00:00"         ,65535       ,20.754013        ,65535       ,31.030733        ,65535       ,34.687473        ,65535       ,35.477299        ,65535       ,42.226528        ,65535       ,49.727600        ,
9       ,"2016-09-04 22:30:00"         ,65535       ,20.778679        ,65535       ,31.030733        ,65535       ,34.695759        ,65535       ,35.477299        ,65535       ,42.226528        ,65535       ,49.727600        ,
