Moisture Data ASCII output
Logger ID:  IENWUP002SMP
Last Sampling Interval: 30 minutes
Selected Sites, Probes and Sensors: 
Default: P1: 10[A1], 20[A2], 30[A3], 40[A4], 60[A5], 80[A6]
Output Type:  Separate
Index   ,"Date Time"                   ,A1.Raw      ,A1.Moisture[mm]  ,A2.Raw      ,A2.Moisture[mm]  ,A3.Raw      ,A3.Moisture[mm]  ,A4.Raw      ,A4.Moisture[mm]  ,A5.Raw      ,A5.Moisture[mm]  ,A6.Raw      ,A6.Moisture[mm]  ,
0       ,"2016-11-02 15:30:00"         ,65535       ,27.635025        ,65535       ,32.632282        ,65535       ,33.906017        ,65535       ,33.955795        ,65535       ,40.560921        ,65535       ,48.557144        ,
1       ,"2016-11-02 16:00:00"         ,65535       ,27.642334        ,65535       ,32.632282        ,65535       ,33.897854        ,65535       ,33.955795        ,65535       ,40.551674        ,65535       ,48.557144        ,
2       ,"2016-11-02 16:30:00"         ,65535       ,27.649649        ,65535       ,32.632282        ,65535       ,33.897854        ,65535       ,33.947548        ,65535       ,40.551674        ,65535       ,48.546959        ,
3       ,"2016-11-02 17:00:00"         ,65535       ,27.656960        ,65535       ,32.643261        ,65535       ,33.906017        ,65535       ,33.955795        ,65535       ,40.551674        ,65535       ,48.557144        ,
4       ,"2016-11-02 17:30:00"         ,65535       ,27.979946        ,65535       ,32.731224        ,65535       ,33.914192        ,65535       ,33.964043        ,65535       ,40.570168        ,65535       ,48.557144        ,
5       ,"2016-11-02 18:00:00"         ,65535       ,28.364544        ,65535       ,32.731224        ,65535       ,33.914192        ,65535       ,33.972294        ,65535       ,40.570168        ,65535       ,48.557144        ,
6       ,"2016-11-02 18:30:00"         ,65535       ,29.294315        ,65535       ,32.962784        ,65535       ,33.922356        ,65535       ,33.972294        ,65535       ,40.579403        ,65535       ,48.557144        ,
7       ,"2016-11-02 19:00:00"         ,65535       ,30.134109        ,65535       ,33.228615        ,65535       ,33.946880        ,65535       ,33.980556        ,65535       ,40.588661        ,65535       ,48.557144        ,
8       ,"2016-11-02 19:30:00"         ,65535       ,32.263744        ,65535       ,34.440659        ,65535       ,37.225266        ,65535       ,34.511292        ,65535       ,41.080616        ,65535       ,48.557144        ,
9       ,"2016-11-02 20:00:00"         ,65535       ,32.007755        ,65535       ,35.010578        ,65535       ,37.702148        ,65535       ,34.536282        ,65535       ,41.173847        ,65535       ,48.567341        ,
10      ,"2016-11-02 20:30:00"         ,65535       ,31.254929        ,65535       ,34.873287        ,65535       ,37.078598        ,65535       ,34.862251        ,65535       ,41.192505        ,65535       ,48.567341        ,
11      ,"2016-11-02 21:00:00"         ,65535       ,30.800552        ,65535       ,34.747723        ,65535       ,36.606445        ,65535       ,34.979717        ,65535       ,41.211170        ,65535       ,48.567341        ,
12      ,"2016-11-02 21:30:00"         ,65535       ,30.497257        ,65535       ,34.679344        ,65535       ,36.444176        ,65535       ,35.046932        ,65535       ,41.229839        ,65535       ,48.577538        ,
13      ,"2016-11-02 22:00:00"         ,65535       ,30.272881        ,65535       ,34.633808        ,65535       ,36.299343        ,65535       ,35.088985        ,65535       ,41.239166        ,65535       ,48.577538        ,
14      ,"2016-11-02 22:30:00"         ,65535       ,30.111019        ,65535       ,34.588306        ,65535       ,36.146381        ,65535       ,35.114235        ,65535       ,41.248516        ,65535       ,48.587738        ,
15      ,"2016-11-02 23:00:00"         ,65535       ,29.980368        ,65535       ,34.554207        ,65535       ,36.019203        ,65535       ,35.131077        ,65535       ,41.257843        ,65535       ,48.577538        ,
16      ,"2016-11-02 23:30:00"         ,65535       ,29.873024        ,65535       ,34.486046        ,65535       ,35.900734        ,65535       ,35.131077        ,65535       ,41.257843        ,65535       ,48.587738        ,
17      ,"2016-11-03 00:00:00"         ,65535       ,29.781200        ,65535       ,34.440659        ,65535       ,35.790943        ,65535       ,35.122650        ,65535       ,41.257843        ,65535       ,48.587738        ,
18      ,"2016-11-03 00:30:00"         ,65535       ,29.842398        ,65535       ,34.417976        ,65535       ,35.706623        ,65535       ,35.097408        ,65535       ,41.267185        ,65535       ,48.587738        ,
19      ,"2016-11-03 01:00:00"         ,65535       ,29.903669        ,65535       ,34.429317        ,65535       ,35.647671        ,65535       ,35.080574        ,65535       ,41.276527        ,65535       ,48.587738        ,
20      ,"2016-11-03 01:30:00"         ,65535       ,29.911335        ,65535       ,34.440659        ,65535       ,35.614014        ,65535       ,35.063755        ,65535       ,41.276527        ,65535       ,48.587738        ,
21      ,"2016-11-03 02:00:00"         ,65535       ,29.842398        ,65535       ,34.429317        ,65535       ,35.588779        ,65535       ,35.046932        ,65535       ,41.276527        ,65535       ,48.597927        ,
22      ,"2016-11-03 02:30:00"         ,65535       ,29.765915        ,65535       ,34.406647        ,65535       ,35.555157        ,65535       ,35.038528        ,65535       ,41.276527        ,65535       ,48.597927        ,
23      ,"2016-11-03 03:00:00"         ,65535       ,29.689548        ,65535       ,34.372643        ,65535       ,35.513149        ,65535       ,35.021713        ,65535       ,41.276527        ,65535       ,48.597927        ,
24      ,"2016-11-03 03:30:00"         ,65535       ,29.620916        ,65535       ,34.338669        ,65535       ,35.479557        ,65535       ,35.004910        ,65535       ,41.267185        ,65535       ,48.597927        ,
25      ,"2016-11-03 04:00:00"         ,65535       ,29.559986        ,65535       ,34.304707        ,65535       ,35.429218        ,65535       ,34.988106        ,65535       ,41.257843        ,65535       ,48.597927        ,
26      ,"2016-11-03 04:30:00"         ,65535       ,29.499136        ,65535       ,34.282085        ,65535       ,35.387299        ,65535       ,34.971313        ,65535       ,41.192505        ,65535       ,48.597927        ,
